,f0,f1,f2,f3,f4,f6,f5,f7,f8,f9,f10,f11,f12,label
855,565,15,32,4383,6,87,5299,17,3,0,0,2,0,1
856,539,7,17,4115,7,70,4873,3,2,0,1,2,0,1
857,242,5,11,1787,2,38,2496,4,1,0,0,0,0,1
858,277,2,13,2359,9,34,3126,1,1,0,1,0,0,1
859,548,30,20,4035,1,76,4623,11,3,0,1,0,0,1
860,617,13,36,4265,11,79,4740,1,2,0,1,1,0,1
861,2790,72,129,20951,36,386,25175,1,2,0,1,1,0,1
862,126,26,40,1396,2,43,1722,15,1,1,2,2,0,8
863,1175,34,40,5469,6,160,5151,3,2,0,0,1,1,1
864,2693,113,458,9864,31,585,7771,13,3,0,0,3,0,1
865,1418,107,73,7861,7,209,6791,6,1,0,0,1,0,1
866,1888,253,551,15908,57,894,13056,17,12,0,3,2,1,2
867,1282,294,220,9514,42,285,10411,1,0,0,0,0,1,1
868,182,59,58,1076,9,45,656,5,2,0,1,1,0,6
869,348,99,207,2233,33,117,2323,4,7,1,0,7,0,1
870,1148,81,226,6299,31,139,7752,10,10,0,0,4,0,1
871,662,74,131,2698,12,46,2430,2,2,0,0,0,0,1
872,447,46,197,4221,33,298,4433,0,1,0,0,0,0,1
873,1540,127,316,11315,22,1061,7944,3,2,0,0,0,0,5
874,2334,601,381,13381,53,584,10378,6,6,0,0,0,0,1
875,2794,400,688,17930,124,714,15979,2,1,0,0,0,0,1
876,1900,315,320,9943,50,418,7870,2,2,0,0,1,1,1
877,1418,86,250,16514,23,512,18114,7,3,0,0,1,1,1
878,2979,369,572,15843,109,742,15701,2,2,0,0,1,0,1
879,733,133,216,6240,28,574,9385,2,3,1,0,2,0,7
880,2888,341,155,15767,30,271,12306,2,2,0,0,0,0,7
881,506,52,190,2960,25,67,2726,2,0,0,0,0,0,1
882,312,9,98,1955,15,35,2186,11,10,1,0,0,0,1
883,777,136,289,6066,27,228,5006,0,0,0,0,0,0,1
884,1490,194,539,9752,59,294,8796,1,0,1,0,1,0,1
885,711,104,301,4414,19,84,2751,2,0,0,0,0,0,1
886,179,40,82,1283,11,30,986,10,7,0,0,2,0,1
887,698,131,293,4854,37,131,3355,2,0,0,0,0,0,1
888,1573,274,671,10351,66,240,6994,2,1,0,0,0,1,1
889,2519,225,561,18015,94,468,17732,4,2,0,3,0,0,1
890,5975,429,396,23712,44,1781,22120,4,3,0,0,1,0,1
891,3463,428,602,14068,79,448,11292,9,11,0,1,3,0,5
892,2687,817,710,23630,96,983,16811,0,1,0,0,0,0,1
893,2079,329,440,7799,48,349,8301,3,1,0,0,4,0,1
894,849,66,119,2579,8,139,2494,3,2,0,0,0,0,1
895,2121,252,251,7792,48,240,11641,2,2,1,0,1,0,1
896,1356,147,170,11509,26,147,10959,4,1,0,0,1,0,1
897,704,13,137,2906,17,163,2846,9,3,0,0,1,0,1
898,2700,32,350,7037,59,410,7649,1,3,0,1,0,0,2
899,1357,220,137,7328,9,243,6858,1,0,0,0,0,1,1
900,1035,213,178,10280,17,190,9033,2,1,0,0,1,0,1
901,3256,1002,747,21637,100,724,15616,4,4,0,0,0,0,1
902,575,78,174,4382,35,211,5410,6,3,0,2,0,0,1
903,128,4,49,1597,6,74,2344,3,1,0,0,0,0,1
904,10,0,0,0,0,1,1,0,0,0,0,0,0,1
905,968,16,213,7542,33,288,11034,0,2,0,0,0,0,1
906,21,13,18,693,5,8,1064,16,10,1,1,0,0,1
907,1866,580,260,10066,21,470,7624,1,1,0,0,0,0,1
908,69,13,14,1012,2,13,1210,9,1,0,1,0,0,1
909,65,19,35,1222,4,17,1064,3,2,0,0,0,0,1
910,52,17,22,757,5,18,829,3,6,0,0,4,0,1
911,51,16,57,1168,8,13,1354,7,8,1,4,6,0,1
912,196,65,127,4085,19,46,4359,7,8,1,4,6,0,1
913,2912,477,317,24689,51,1063,20986,2,1,0,0,2,0,1
914,461,35,65,2696,21,107,3199,2,0,0,0,0,2,1
915,2894,553,497,14304,81,770,12811,1,3,0,0,0,0,1
916,684,170,92,4930,12,170,5365,2,1,0,0,0,0,1
917,242,11,24,869,0,58,1038,0,3,0,1,0,1,1
918,1877,614,355,14795,38,614,13800,8,3,1,1,1,0,1
919,2150,993,329,12717,24,315,9865,7,2,0,0,0,0,1
920,683,39,104,3805,10,151,4512,22,12,0,0,1,0,4
921,665,3,132,2804,22,157,2652,4,2,0,0,0,1,1
922,994,139,65,2610,16,149,2181,4,4,0,0,3,4,1
923,5265,87,980,11343,145,550,10376,0,1,0,1,0,0,8
924,1332,131,182,6558,13,489,7293,5,1,0,0,0,0,1
925,1543,868,839,16392,82,608,10672,6,10,0,0,1,0,1
926,2852,449,983,15830,78,239,15235,3,0,0,0,0,1,1
927,3105,933,510,11299,78,596,10059,1,1,0,0,1,0,1
928,1617,297,427,13638,94,1039,14764,4,1,0,1,1,0,1
929,1989,359,530,11207,60,225,12842,1,1,0,0,1,0,1
930,1790,136,406,9099,49,397,10105,3,1,0,0,0,0,1
931,1516,290,265,8048,31,231,7223,7,3,0,0,0,0,1
932,3165,561,668,18376,106,733,16478,6,3,0,1,0,0,1
933,710,42,112,2583,25,174,2972,2,1,0,1,0,0,1
934,1771,238,356,6432,37,304,8050,3,7,0,0,0,0,1
935,911,255,119,4365,5,187,2653,0,2,0,0,1,1,1
936,1815,98,325,7563,81,199,10358,1,2,0,2,0,0,1
937,1167,162,289,6923,42,575,5959,6,1,0,0,1,0,7
938,3357,531,469,16300,61,423,19530,1,1,0,0,0,0,1
939,3624,912,671,17952,118,1215,17529,5,2,0,2,2,0,1
940,1407,79,98,10225,17,878,11422,10,10,0,0,2,0,1
941,3401,307,733,16823,78,486,19558,3,1,1,0,2,0,1
942,2586,308,711,16871,82,680,18702,2,1,0,0,0,0,1
943,1172,60,119,5087,11,113,4009,0,0,0,0,0,0,1
944,900,226,165,7330,21,211,6745,0,1,0,0,0,0,1
945,2461,316,523,17061,52,588,20742,6,3,0,1,0,0,1
946,2979,134,284,13014,21,131,11111,2,1,0,0,0,0,1
947,118,40,13,1912,5,39,2278,0,1,0,1,2,1,1
948,2059,186,289,10202,65,616,11492,3,1,0,0,2,0,1
949,16,0,8,100,1,4,106,2,2,0,2,0,0,2
950,2309,116,440,9679,43,476,7817,1,3,0,0,0,1,1
951,1495,49,324,8854,13,629,8623,0,2,0,0,0,2,2
952,2059,437,416,10518,43,391,8416,0,0,0,0,0,1,1
953,2504,290,463,12343,60,296,10378,3,1,0,0,0,0,8
954,2522,406,215,15820,27,430,15162,2,1,0,1,0,0,1
955,2135,114,481,9880,77,556,11564,2,1,0,0,0,0,8
956,2443,278,659,10202,55,544,6884,1,1,0,0,0,0,1
957,2279,119,416,10510,67,557,10191,3,0,0,0,0,0,1
958,1002,374,259,9397,36,209,10109,0,0,0,0,0,0,1
959,2537,123,524,14811,84,407,13591,3,1,0,0,0,0,2
960,3195,252,453,10106,64,524,7775,1,1,0,0,0,0,2
961,750,36,13,2795,0,82,2734,10,1,2,1,2,0,1
962,854,40,19,3233,2,118,3069,0,0,0,0,0,0,1
963,2040,412,315,16387,89,525,15091,5,2,0,1,0,0,1
964,1701,24,104,7680,30,1200,13412,6,1,0,0,0,0,8
965,2571,29,130,9064,37,1192,12136,2,1,0,0,0,0,8
966,3817,180,378,26379,43,873,24221,5,1,0,1,0,0,1
967,1781,624,358,19232,80,447,19369,6,1,0,1,0,0,1
968,2290,660,501,20499,59,589,17861,11,4,0,2,3,1,1
969,1800,344,275,15657,75,498,15308,6,1,0,1,1,0,1
970,713,12,129,3309,16,142,3506,6,1,0,1,1,2,6
971,769,35,191,5708,24,128,5294,2,2,0,0,1,0,2
972,722,20,175,6524,47,265,12450,40,12,1,9,2,2,2
973,845,29,137,7822,47,397,13205,0,1,0,0,0,0,2
974,608,58,193,8813,41,195,14951,8,5,0,0,4,5,2
975,946,26,238,6957,50,275,10800,73,22,2,5,15,2,2
976,1832,10,111,9084,31,632,12364,4,2,0,1,0,0,1
977,2351,255,718,11656,107,776,10393,0,0,0,0,2,2,1
978,2403,17,251,15853,44,1485,27330,33,9,0,3,4,0,8
979,1451,42,224,7632,30,293,7187,14,9,0,1,0,0,2
980,537,49,41,2108,8,135,2867,13,4,0,2,0,3,1
981,791,13,92,1644,5,53,1089,0,1,0,0,0,0,1
982,140,2,6,198,1,8,124,0,1,0,0,0,0,1
983,1860,119,272,13615,46,989,19185,4,1,0,2,4,1,1
984,1091,10,90,4990,25,301,9235,3,1,0,1,0,1,8
985,2151,252,616,9640,61,377,10607,2,1,0,0,1,0,1
986,237,0,1,641,0,79,918,3,1,0,0,0,0,1
987,943,15,88,1689,7,62,1101,0,1,0,0,0,0,1
988,1144,63,251,8872,53,306,9874,3,3,0,0,0,0,2
989,1777,46,181,7766,35,649,6736,15,2,4,0,7,1,1
990,3838,85,362,15596,29,241,19109,7,3,1,1,2,1,1
991,7080,505,677,50189,74,932,44853,6,0,0,1,0,1,1
992,2255,216,286,12661,25,305,12667,4,2,0,0,0,2,1
993,2055,67,346,11526,64,339,11200,10,6,0,0,0,0,2
994,2532,183,261,7915,24,400,6078,2,3,0,0,2,0,2
995,385,19,61,1859,11,53,2414,0,1,0,0,0,0,1
